fold,train_flights,val_flights,val_f1_default,best_threshold,val_f1_tuned,val_auc,epochs_run
1,79,15,0.7434140398964519,0.5000000000000002,0.7434140398964519,0.8635372592615894,32
2,78,16,0.686038961038961,0.47000000000000025,0.6902545003103663,0.8358626807840748,50
3,78,16,0.7550262517607889,0.46000000000000024,0.7589405590137923,0.8447924262817958,24
4,79,15,0.7229680958567922,0.48000000000000026,0.7258360378157189,0.8348796327911023,46
5,78,16,0.7463312368972747,0.47000000000000025,0.749293500201857,0.8570622918483568,44
6,78,16,0.7250938492636443,0.5100000000000002,0.7251170960187353,0.8502064927559957,50
